2024-01-12 07:03:11,120 : INFO : Checking for updates to resources.json in case models have been updated.  Note: this behavior can be turned off with download_method=None or download_method=DownloadMethod.REUSE_RESOURCES
2024-01-12 07:03:12,531 : INFO : Loading these models for language: en (English):
============================================
| Processor    | Package                   |
--------------------------------------------
| tokenize     | combined                  |
| mwt          | combined                  |
| pos          | combined_charlm           |
| lemma        | combined_nocharlm         |
| constituency | ptb3-revised_charlm       |
| depparse     | combined_charlm           |
| sentiment    | sstplus                   |
| ner          | ontonotes-ww-multi_charlm |
============================================

2024-01-12 07:03:12,532 : INFO : Using device: cpu
2024-01-12 07:03:12,532 : INFO : Loading: tokenize
2024-01-12 07:03:12,788 : INFO : Loading: mwt
2024-01-12 07:03:12,810 : INFO : Loading: pos
2024-01-12 07:03:13,139 : INFO : Loading: lemma
2024-01-12 07:03:13,284 : INFO : Loading: constituency
2024-01-12 07:03:13,757 : INFO : Loading: depparse
2024-01-12 07:03:14,027 : INFO : Loading: sentiment
2024-01-12 07:03:14,310 : INFO : Loading: ner
2024-01-12 07:03:14,826 : INFO : Done loading processors!
2024-01-12 07:05:24,869 : WARNING : No results for [prolonged myelosuppression], Retry [myelosuppression]
2024-01-12 07:05:26,406 : WARNING : No results for [neurologic toxicity], Retry [toxicity]
2024-01-12 07:05:30,966 : WARNING : No results for [Gold - induced pneumonitis], Retry [- induced pneumonitis]
2024-01-12 07:05:32,483 : WARNING : No results for [gold salt therapy], Retry [salt therapy]
2024-01-12 07:05:35,980 : WARNING : No results for [Massive subfascial hematoma], Retry [subfascial hematoma]
2024-01-12 07:05:36,585 : WARNING : No results for [subfascial hematoma], Retry [hematoma]
2024-01-12 07:05:38,325 : WARNING : No results for [alteplase therapy], Retry [therapy]
2024-01-12 07:05:51,419 : WARNING : No results for [postoperative IFN], Retry [IFN]
2024-01-12 07:05:55,005 : WARNING : No results for [Several hypersensitivity reactions], Retry [hypersensitivity reactions]
2024-01-12 07:05:57,549 : WARNING : No results for [IgE - mediated allergic reactions], Retry [- mediated allergic reactions]
2024-01-12 07:05:58,277 : WARNING : No results for [- mediated allergic reactions], Retry [mediated allergic reactions]
2024-01-12 07:05:59,019 : WARNING : No results for [mediated allergic reactions], Retry [allergic reactions]
2024-01-12 07:06:00,812 : WARNING : No results for [other semisynthetic penicillins], Retry [semisynthetic penicillins]
2024-01-12 07:06:01,402 : WARNING : No results for [semisynthetic penicillins], Retry [penicillins]
2024-01-12 07:06:10,573 : WARNING : No results for [warfarin use], Retry [use]
2024-01-12 07:06:12,421 : WARNING : No results for [adverse bleeding], Retry [bleeding]
2024-01-12 07:06:22,969 : WARNING : No results for [severe dermatologic toxicity], Retry [dermatologic toxicity]
2024-01-12 07:06:23,575 : WARNING : No results for [dermatologic toxicity], Retry [toxicity]
2024-01-12 07:06:27,022 : WARNING : No results for [acute hypersensitivity reaction], Retry [hypersensitivity reaction]
2024-01-12 07:06:29,487 : WARNING : No results for [A literature review], Retry [literature review]
2024-01-12 07:06:30,072 : WARNING : No results for [literature review], Retry [review]
2024-01-12 07:06:33,564 : WARNING : No results for [spontaneous intracranial bleeding], Retry [intracranial bleeding]
2024-01-12 07:06:35,318 : WARNING : No results for [an human immunodeficiency virus], Retry [human immunodeficiency virus]
2024-01-12 07:06:38,629 : WARNING : No results for [The multiple comedones], Retry [multiple comedones]
2024-01-12 07:06:41,184 : WARNING : No results for [imiquimod therapy], Retry [therapy]
2024-01-12 07:06:44,157 : WARNING : No results for [induced dysthyroidism], Retry [dysthyroidism]
2024-01-12 07:06:46,863 : WARNING : No results for [induced nephrotoxicity], Retry [nephrotoxicity]
2024-01-12 07:06:56,023 : WARNING : No results for [all bone fractures], Retry [bone fractures]
2024-01-12 07:06:57,712 : WARNING : No results for [fractures of spine , hip and wrist )], Retry [spine , hip and wrist )]
2024-01-12 07:07:08,139 : WARNING : No results for [grade III hepatic encephalopathy], Retry [III hepatic encephalopathy]
2024-01-12 07:07:08,754 : WARNING : No results for [III hepatic encephalopathy], Retry [hepatic encephalopathy]
2024-01-12 07:07:17,503 : WARNING : No results for [this adverse reaction], Retry [adverse reaction]
2024-01-12 07:07:19,318 : WARNING : No results for [Pamidronate therapy], Retry [therapy]
2024-01-12 07:07:21,988 : WARNING : No results for [acute vitamin D poisoning], Retry [vitamin D poisoning]
2024-01-12 07:07:23,537 : WARNING : No results for [intravitreal triamcinolone], Retry [triamcinolone]
2024-01-12 07:07:28,925 : WARNING : No results for [nebulised morphine], Retry [morphine]
2024-01-12 07:07:32,411 : WARNING : No results for [modified interferon alfa], Retry [interferon alfa]
2024-01-12 07:07:33,986 : WARNING : No results for [methotrexate toxicity], Retry [toxicity]
2024-01-12 07:07:36,615 : WARNING : No results for [oral and gastrointestinal ulceration], Retry [and gastrointestinal ulceration]
2024-01-12 07:07:37,263 : WARNING : No results for [and gastrointestinal ulceration], Retry [gastrointestinal ulceration]
2024-01-12 07:07:39,577 : WARNING : No results for [intravenous dantrolene], Retry [dantrolene]
2024-01-12 07:07:41,285 : WARNING : No results for [iliocaval manifestations], Retry [manifestations]
2024-01-12 07:07:52,260 : WARNING : No results for [" cutting " agents], Retry [cutting " agents]
2024-01-12 07:07:56,520 : WARNING : No results for [unintentional caustic contaminants], Retry [caustic contaminants]
2024-01-12 07:07:57,230 : WARNING : No results for [caustic contaminants], Retry [contaminants]
2024-01-12 07:08:05,328 : WARNING : No results for [successful surgical management], Retry [surgical management]
2024-01-12 07:08:08,979 : WARNING : No results for [a femoral artery pseudoaneurysm], Retry [femoral artery pseudoaneurysm]
2024-01-12 07:08:10,581 : WARNING : No results for [Acute vision loss], Retry [vision loss]
2024-01-12 07:08:15,605 : WARNING : No results for [continuous tolazoline infusion], Retry [tolazoline infusion]
2024-01-12 07:08:16,203 : WARNING : No results for [tolazoline infusion], Retry [infusion]
2024-01-12 07:08:19,747 : WARNING : No results for [late - onset angioedema], Retry [- onset angioedema]
2024-01-12 07:08:20,383 : WARNING : No results for [- onset angioedema], Retry [onset angioedema]
2024-01-12 07:08:21,018 : WARNING : No results for [onset angioedema], Retry [angioedema]
2024-01-12 07:08:32,036 : WARNING : No results for [intramuscular pentazocine injections], Retry [pentazocine injections]
2024-01-12 07:08:33,714 : WARNING : No results for [gradual stiffness], Retry [stiffness]
2024-01-12 07:08:35,479 : WARNING : No results for [weakness of the lower extremities], Retry [the lower extremities]
2024-01-12 07:08:36,209 : WARNING : No results for [the lower extremities], Retry [lower extremities]
2024-01-12 07:08:42,744 : WARNING : No results for [chest roentgenograms], Retry [roentgenograms]
2024-01-12 07:08:45,267 : WARNING : No results for [pulmonary adverse effects], Retry [adverse effects]
2024-01-12 07:08:51,485 : WARNING : No results for [idiopathic TTP], Retry [TTP]
2024-01-12 07:08:53,160 : WARNING : No results for [severely decreased ADAMTS13], Retry [decreased ADAMTS13]
2024-01-12 07:08:54,660 : WARNING : No results for [an inhibitor], Retry [inhibitor]
2024-01-12 07:09:00,694 : WARNING : No results for [Large cerebral infarction], Retry [cerebral infarction]
2024-01-12 07:09:02,461 : WARNING : No results for [praziquantel therapy], Retry [therapy]
2024-01-12 07:09:05,402 : WARNING : No results for [the porphyria], Retry [porphyria]
2024-01-12 07:09:07,174 : WARNING : No results for [the diphenylhydantoin], Retry [diphenylhydantoin]
2024-01-12 07:09:08,724 : WARNING : No results for [the respiratory insufficiency], Retry [respiratory insufficiency]
2024-01-12 07:09:10,521 : WARNING : No results for [the histopathology], Retry [histopathology]
2024-01-12 07:09:13,992 : WARNING : No results for [Transient trazodone], Retry [trazodone]
2024-01-12 07:09:15,774 : WARNING : No results for [induced hypomanic symptoms], Retry [hypomanic symptoms]
2024-01-12 07:09:16,516 : WARNING : No results for [hypomanic symptoms], Retry [symptoms]
2024-01-12 07:09:22,045 : WARNING : No results for [Successful desensitization], Retry [desensitization]
2024-01-12 07:09:23,769 : WARNING : No results for [high - dose methotrexate], Retry [- dose methotrexate]
2024-01-12 07:09:29,199 : WARNING : No results for [elevated serum ammonia levels], Retry [serum ammonia levels]
2024-01-12 07:09:29,957 : WARNING : No results for [serum ammonia levels], Retry [ammonia levels]
2024-01-12 07:09:35,415 : WARNING : No results for [a severe complication], Retry [severe complication]
2024-01-12 07:09:37,076 : WARNING : No results for [systemic heparin therapy], Retry [heparin therapy]
2024-01-12 07:09:51,309 : WARNING : No results for [successful therapy], Retry [therapy]
2024-01-12 07:09:53,262 : WARNING : No results for [the heparinoid Org], Retry [heparinoid Org]
2024-01-12 07:09:54,114 : WARNING : No results for [heparinoid Org], Retry [Org]
2024-01-12 07:09:56,641 : WARNING : No results for [LMW heparins], Retry [heparins]
2024-01-12 07:09:58,904 : WARNING : No results for [intermittent sinoatrial block], Retry [sinoatrial block]
2024-01-12 07:10:01,426 : WARNING : No results for [traumatic flap dehiscence], Retry [flap dehiscence]
2024-01-12 07:10:03,008 : WARNING : No results for [Enterobacter keratitis], Retry [keratitis]
2024-01-12 07:10:08,561 : WARNING : No results for [high dose colchicine treatment], Retry [dose colchicine treatment]
2024-01-12 07:10:09,333 : WARNING : No results for [dose colchicine treatment], Retry [colchicine treatment]
2024-01-12 07:10:10,058 : WARNING : No results for [colchicine treatment], Retry [treatment]
2024-01-12 07:10:11,943 : WARNING : No results for [familiar mediterranean fever], Retry [mediterranean fever]
2024-01-12 07:10:18,221 : WARNING : No results for [Native arterial thrombosis], Retry [arterial thrombosis]
2024-01-12 07:10:19,789 : WARNING : No results for [a severe complication], Retry [severe complication]
2024-01-12 07:10:23,141 : WARNING : No results for [lethal outcome], Retry [outcome]
2024-01-12 07:10:29,416 : WARNING : No results for [markedly elevated], Retry [elevated]
2024-01-12 07:10:31,021 : WARNING : No results for [bleeding symptoms], Retry [symptoms]
2024-01-12 07:10:36,169 : WARNING : No results for [Fatal acute tubular necrosis], Retry [acute tubular necrosis]
2024-01-12 07:10:37,906 : WARNING : No results for [intravesical formalin], Retry [formalin]
2024-01-12 07:10:39,580 : WARNING : No results for [massive persistent hemorrhage], Retry [persistent hemorrhage]
2024-01-12 07:10:40,324 : WARNING : No results for [persistent hemorrhage], Retry [hemorrhage]
2024-01-12 07:10:43,914 : WARNING : No results for [a Meckel 's diverticulum], Retry [Meckel 's diverticulum]
2024-01-12 07:10:46,492 : WARNING : No results for [Increased ocular pressure], Retry [ocular pressure]
2024-01-12 07:10:51,976 : WARNING : No results for [low - dose bromocriptine therapy], Retry [- dose bromocriptine therapy]
2024-01-12 07:10:52,738 : WARNING : No results for [- dose bromocriptine therapy], Retry [dose bromocriptine therapy]
2024-01-12 07:10:53,497 : WARNING : No results for [dose bromocriptine therapy], Retry [bromocriptine therapy]
2024-01-12 07:10:54,279 : WARNING : No results for [bromocriptine therapy], Retry [therapy]
2024-01-12 07:10:56,275 : WARNING : No results for [a macroprolactinoma], Retry [macroprolactinoma]
2024-01-12 07:11:04,933 : WARNING : No results for [poorly responsive], Retry [responsive]
2024-01-12 07:11:07,525 : WARNING : No results for [Drug - induced mammary hyperplasias], Retry [- induced mammary hyperplasias]
2024-01-12 07:11:08,171 : WARNING : No results for [- induced mammary hyperplasias], Retry [induced mammary hyperplasias]
2024-01-12 07:11:08,804 : WARNING : No results for [induced mammary hyperplasias], Retry [mammary hyperplasias]
2024-01-12 07:11:13,195 : WARNING : No results for [thalidomide therapy], Retry [therapy]
2024-01-12 07:11:15,005 : WARNING : No results for [cholestyramine II sachets], Retry [II sachets]
2024-01-12 07:11:15,650 : WARNING : No results for [II sachets], Retry [sachets]
2024-01-12 07:11:22,007 : WARNING : No results for [antidiabetic medications], Retry [medications]
2024-01-12 07:11:27,503 : WARNING : No results for [The hepatic enzyme disturbances], Retry [hepatic enzyme disturbances]
2024-01-12 07:11:28,132 : WARNING : No results for [hepatic enzyme disturbances], Retry [enzyme disturbances]
2024-01-12 07:11:28,737 : WARNING : No results for [enzyme disturbances], Retry [disturbances]
2024-01-12 07:11:31,450 : WARNING : No results for [these antithrombotic effects], Retry [antithrombotic effects]
2024-01-12 07:11:32,231 : WARNING : No results for [antithrombotic effects], Retry [effects]
2024-01-12 07:11:33,902 : WARNING : No results for [repeated venous thromboembolism], Retry [venous thromboembolism]
2024-01-12 07:11:38,346 : WARNING : No results for [the adverse drug reaction], Retry [adverse drug reaction]
2024-01-12 07:11:43,785 : WARNING : No results for [adaptive optics], Retry [optics]
2024-01-12 07:11:45,431 : WARNING : No results for [hydroxychloroquine retinal toxicity], Retry [retinal toxicity]
2024-01-12 07:11:46,976 : WARNING : No results for [symptomatic vision loss], Retry [vision loss]
2024-01-12 07:11:48,681 : WARNING : No results for [methotrexate administration], Retry [administration]
2024-01-12 07:11:50,310 : WARNING : No results for [severe back pain], Retry [back pain]
2024-01-12 07:11:56,687 : WARNING : No results for [Reversible methotrexate], Retry [methotrexate]
2024-01-12 07:11:59,211 : WARNING : No results for [advanced gastric cancer], Retry [gastric cancer]
2024-01-12 07:12:01,867 : WARNING : No results for [advanced colonic carcinoma], Retry [colonic carcinoma]
2024-01-12 07:12:03,443 : WARNING : No results for [concomitant chemoirradiation], Retry [chemoirradiation]
2024-01-12 07:12:05,959 : WARNING : No results for [a peculiar dermnatitis], Retry [peculiar dermnatitis]
2024-01-12 07:12:06,706 : WARNING : No results for [peculiar dermnatitis], Retry [dermnatitis]
2024-01-12 07:12:08,210 : WARNING : No results for [subsequent chemotherapy], Retry [chemotherapy]
2024-01-12 07:12:10,782 : WARNING : No results for [Disseminated tuberculous lesions], Retry [tuberculous lesions]
2024-01-12 07:12:11,457 : WARNING : No results for [tuberculous lesions], Retry [lesions]
2024-01-12 07:12:14,186 : WARNING : No results for [cytotoxic treatment], Retry [treatment]
2024-01-12 07:12:15,957 : WARNING : No results for [high dose methotrexate], Retry [dose methotrexate]
2024-01-12 07:12:17,598 : WARNING : No results for [folinic acid rescue], Retry [acid rescue]
2024-01-12 07:12:18,179 : WARNING : No results for [acid rescue], Retry [rescue]
2024-01-12 07:12:20,369 : WARNING : No results for [hyper - uricaemia], Retry [- uricaemia]
2024-01-12 07:12:21,050 : WARNING : No results for [- uricaemia], Retry [uricaemia]
2024-01-12 07:12:29,084 : WARNING : No results for [cholestatic liver injury], Retry [liver injury]
2024-01-12 07:12:35,503 : WARNING : No results for [severe cisplatin], Retry [cisplatin]
2024-01-12 07:12:37,150 : WARNING : No results for [induced renal tubular salt wasting], Retry [renal tubular salt wasting]
2024-01-12 07:12:37,848 : WARNING : No results for [renal tubular salt wasting], Retry [tubular salt wasting]
2024-01-12 07:12:38,598 : WARNING : No results for [tubular salt wasting], Retry [salt wasting]
2024-01-12 07:12:41,116 : WARNING : No results for [massive fluoxetine ingestion], Retry [fluoxetine ingestion]
2024-01-12 07:12:41,766 : WARNING : No results for [fluoxetine ingestion], Retry [ingestion]
2024-01-12 07:12:43,380 : WARNING : No results for [neurological and cardiovascular toxicity], Retry [and cardiovascular toxicity]
2024-01-12 07:12:44,002 : WARNING : No results for [and cardiovascular toxicity], Retry [cardiovascular toxicity]
2024-01-12 07:12:44,605 : WARNING : No results for [cardiovascular toxicity], Retry [toxicity]
2024-01-12 07:12:48,978 : WARNING : No results for [a high fever], Retry [high fever]
2024-01-12 07:12:52,458 : WARNING : No results for [this metabolic defect], Retry [metabolic defect]
2024-01-12 07:12:54,689 : WARNING : No results for [life - threatening toxicity], Retry [- threatening toxicity]
2024-01-12 07:12:55,434 : WARNING : No results for [- threatening toxicity], Retry [threatening toxicity]
2024-01-12 07:12:56,705 : WARNING : No results for [a topical drug], Retry [topical drug]
2024-01-12 07:12:58,349 : WARNING : No results for [Acute unilateral total visual loss], Retry [unilateral total visual loss]
2024-01-12 07:12:58,976 : WARNING : No results for [unilateral total visual loss], Retry [total visual loss]
2024-01-12 07:12:59,563 : WARNING : No results for [total visual loss], Retry [visual loss]
2024-01-12 07:13:01,129 : WARNING : No results for [retrogasserian phenol injection], Retry [phenol injection]
2024-01-12 07:13:04,388 : WARNING : No results for [Unexpected severe reversible cyclosporine A], Retry [severe reversible cyclosporine A]
2024-01-12 07:13:05,036 : WARNING : No results for [severe reversible cyclosporine A], Retry [reversible cyclosporine A]
2024-01-12 07:13:05,691 : WARNING : No results for [reversible cyclosporine A], Retry [cyclosporine A]
2024-01-12 07:13:07,454 : WARNING : No results for [induced nephrotoxicity], Retry [nephrotoxicity]
2024-01-12 07:13:10,208 : WARNING : No results for [tubulointerstitial renal disease], Retry [renal disease]
2024-01-12 07:13:11,806 : WARNING : No results for [Corneal endothelial deposits], Retry [endothelial deposits]
2024-01-12 07:13:12,493 : WARNING : No results for [endothelial deposits], Retry [deposits]
2024-01-12 07:13:14,177 : WARNING : No results for [rifabutin use], Retry [use]
2024-01-12 07:13:17,039 : WARNING : No results for [severe lactate acidosis], Retry [lactate acidosis]
2024-01-12 07:13:19,679 : WARNING : No results for [didanosine therapy], Retry [therapy]
2024-01-12 07:13:21,598 : WARNING : No results for [The gynecomastia], Retry [gynecomastia]
2024-01-12 07:13:23,260 : WARNING : No results for [the theophylline], Retry [theophylline]
2024-01-12 07:13:24,790 : WARNING : No results for [cautious approach], Retry [approach]
2024-01-12 07:13:26,508 : WARNING : No results for [prolonged ACTH therapy], Retry [ACTH therapy]
2024-01-12 07:13:27,135 : WARNING : No results for [ACTH therapy], Retry [therapy]
2024-01-12 07:13:36,318 : WARNING : No results for [an acute dermatitis], Retry [acute dermatitis]
2024-01-12 07:13:37,902 : WARNING : No results for [the PUVA], Retry [PUVA]
2024-01-12 07:13:41,437 : WARNING : No results for [a suppurative mediastinitis], Retry [suppurative mediastinitis]
2024-01-12 07:13:42,051 : WARNING : No results for [suppurative mediastinitis], Retry [mediastinitis]
2024-01-12 07:13:43,629 : WARNING : No results for [continuous PI irrigation], Retry [PI irrigation]
2024-01-12 07:13:44,222 : WARNING : No results for [PI irrigation], Retry [irrigation]
2024-01-12 07:13:45,980 : WARNING : No results for [an acute oliguric renal failure], Retry [acute oliguric renal failure]
2024-01-12 07:13:46,698 : WARNING : No results for [acute oliguric renal failure], Retry [oliguric renal failure]
2024-01-12 07:13:47,408 : WARNING : No results for [oliguric renal failure], Retry [renal failure]
2024-01-12 07:13:50,953 : WARNING : No results for [a reproductive endocrine disorder], Retry [reproductive endocrine disorder]
2024-01-12 07:13:51,597 : WARNING : No results for [reproductive endocrine disorder], Retry [endocrine disorder]
2024-01-12 07:13:56,097 : WARNING : No results for [a right frontal high - grade glioma], Retry [right frontal high - grade glioma]
2024-01-12 07:13:56,884 : WARNING : No results for [right frontal high - grade glioma], Retry [frontal high - grade glioma]
2024-01-12 07:13:57,608 : WARNING : No results for [frontal high - grade glioma], Retry [high - grade glioma]
2024-01-12 07:14:00,964 : WARNING : No results for [lamotrigine monotherapy], Retry [monotherapy]
2024-01-12 07:14:02,299 : WARNING : No results for [A macrophage activation syndrome], Retry [macrophage activation syndrome]
2024-01-12 07:14:03,877 : WARNING : No results for [methotrexate toxicity], Retry [toxicity]
2024-01-12 07:14:08,426 : WARNING : No results for [fatal acute neurotoxicity], Retry [acute neurotoxicity]
2024-01-12 07:14:09,158 : WARNING : No results for [acute neurotoxicity], Retry [neurotoxicity]
2024-01-12 07:14:11,738 : WARNING : No results for [an allergic response], Retry [allergic response]
2024-01-12 07:14:14,439 : WARNING : No results for [sulfamethoxazole therapy], Retry [therapy]
2024-01-12 07:14:22,354 : WARNING : No results for [mild renal toxicity], Retry [renal toxicity]
2024-01-12 07:14:31,152 : WARNING : No results for [topical brimonidine], Retry [brimonidine]
2024-01-12 07:14:32,746 : WARNING : No results for [apparent central nervous system depression], Retry [central nervous system depression]
2024-01-12 07:14:39,012 : WARNING : No results for [Celiprolol pneumonitis], Retry [pneumonitis]
2024-01-12 07:14:44,343 : WARNING : No results for [a herpetiform fixed drug eruption], Retry [herpetiform fixed drug eruption]
2024-01-12 07:14:44,971 : WARNING : No results for [herpetiform fixed drug eruption], Retry [fixed drug eruption]
2024-01-12 07:14:46,705 : WARNING : No results for [classic clinical and histological findings], Retry [clinical and histological findings]
2024-01-12 07:14:47,468 : WARNING : No results for [clinical and histological findings], Retry [and histological findings]
2024-01-12 07:14:49,841 : WARNING : No results for [The fluorine], Retry [fluorine]
2024-01-12 07:14:51,493 : WARNING : No results for [niflumic acid], Retry [acid]
2024-01-12 07:14:54,140 : WARNING : No results for [acyclovir neurotoxicity], Retry [neurotoxicity]
2024-01-12 07:14:55,633 : WARNING : No results for [The fever], Retry [fever]
2024-01-12 07:15:01,110 : WARNING : No results for [metoclopramide interaction], Retry [interaction]
2024-01-12 07:15:02,762 : WARNING : No results for [monocular open - angle glaucoma], Retry [open - angle glaucoma]
2024-01-12 07:15:06,207 : WARNING : No results for [a prostaglandin analog], Retry [prostaglandin analog]
2024-01-12 07:15:07,818 : WARNING : No results for [Sirolimus - eluting stent thrombosis], Retry [- eluting stent thrombosis]
2024-01-12 07:15:08,453 : WARNING : No results for [- eluting stent thrombosis], Retry [eluting stent thrombosis]
2024-01-12 07:15:09,820 : WARNING : No results for [clopidogrel discontinuation], Retry [discontinuation]
2024-01-12 07:15:11,616 : WARNING : No results for [This patient 's rhabdomyolysis], Retry [patient 's rhabdomyolysis]
2024-01-12 07:15:12,404 : WARNING : No results for [patient 's rhabdomyolysis], Retry ['s rhabdomyolysis]
2024-01-12 07:15:14,044 : WARNING : No results for [sertraline therapy], Retry [therapy]
2024-01-12 07:15:17,490 : WARNING : No results for [ribavirin treatment], Retry [treatment]
2024-01-12 07:15:21,129 : WARNING : No results for [verapamil administration], Retry [administration]
2024-01-12 07:15:23,769 : WARNING : No results for [an acute asthma attack], Retry [acute asthma attack]
2024-01-12 07:15:24,384 : WARNING : No results for [acute asthma attack], Retry [asthma attack]
2024-01-12 07:15:26,064 : WARNING : No results for [sustained - release verapamil administration], Retry [- release verapamil administration]
2024-01-12 07:15:26,800 : WARNING : No results for [- release verapamil administration], Retry [release verapamil administration]
